"Title: Estimates of Homelessness | KFF"
"Timeframe: 2011"
"Location","Individuals","People in Families with Children","Total People Experiencing Homelessness",Footnotes
"United States","387613","236175","623788","1"
"Alabama","4325","1233","5558"
"Alaska","1286","842","2128"
"Arizona","6403","4101","10504"
"Arkansas","2505","919","3424"
"California","97964","27164","125128"
"Colorado","4546","10570","15116"
"Connecticut","3071","1385","4456"
"Delaware","663","372","1035"
"District of Columbia","3858","2688","6546"
"Florida","37584","19103","56687"
"Georgia","15975","5000","20975"
"Hawaii","3195","2993","6188"
"Idaho","1310","889","2199"
"Illinois","8173","5836","14009"
"Indiana","3789","2407","6196"
"Iowa","1628","1506","3134"
"Kansas","1425","1086","2511"
"Kentucky","3842","2192","6034"
"Louisiana","7941","1350","9291"
"Maine","1184","1263","2447"
"Maryland","6353","3855","10208"
"Massachusetts","6344","10320","16664"
"Michigan","7634","5551","13185"
"Minnesota","3410","4085","7495"
"Mississippi","1825","481","2306"
"Missouri","4657","4332","8989"
"Montana","1094","674","1768"
"Nebraska","2210","1338","3548"
"Nevada","7973","1177","9150"
"New Hampshire","820","649","1469"
"New Jersey","6841","7296","14137"
"New Mexico","2246","1355","3601"
"New York","27338","36107","63445"
"North Carolina","8303","4593","12896"
"North Dakota","396","207","603"
"Ohio","7812","5218","13030"
"Oklahoma","3236","1389","4625"
"Oregon","9445","7809","17254"
"Pennsylvania","7867","7229","15096"
"Rhode Island","652","418","1070"
"South Carolina","3505","1588","5093"
"South Dakota","460","366","826"
"Tennessee","6475","2638","9113"
"Texas","23577","13334","36911"
"Utah","1842","1288","3130"
"Vermont","637","507","1144"
"Virginia","5231","3585","8816"
"Washington","10868","9571","20439"
"West Virginia","1662","549","2211"
"Wisconsin","2838","2947","5785"
"Wyoming","320","718","1038"
"Guam","279","1466","1745"
"Northern Mariana Islands","N/A","N/A","N/A"
"Puerto Rico","2346","554","2900"
"Virgin Islands","450","82","532"

"Notes"
"Point-in-Time (PIT) estimates, offer a snapshot of homelessness—both sheltered and unsheltered— on a single night. The one-night counts are conducted during the last 10 days of January each year."
""
"In this table, homelessness or homeless refers to the definition set by the US Department of Housing and Urban Development (HUD), which considers an individual to be homeless if he or she lives in an emergency shelter, transitional housing program (including safe havens), or a place not meant for human habitation, such as a car, abandoned building, or on the streets."

"Sources"
"U.S. Department of Housing and Urban Development, [Point in Time Estimates of Homelessness, 2020](https://www.hudexchange.info/resource/6291/2020-ahar-part-1-pit-estimates-of-homelessness-in-the-us/), March 2021."

"Definitions"
"*N/A*: Data not available."
""
"*Individual*: A person who is not part of a family with children during an episode of homelessness. Individuals may be homeless as single adults, unaccompanied youth, or in multiple-adult or multiple-child households."
""
"*People in Families with Children*: Includes people who are homeless as part of a household that has at least one adult (age 18 and older) and one child (under age 18)."


Footnotes
"1. National estimates of homelessness include the 50 states, the District of Columbia, Guam, Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands."
