,Year,State,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
0,1960,AL,3266740,39920,6097,33823,406,281,898,4512,11626,19344,2853
1,1961,AL,3302000,38105,5564,32541,427,252,630,4255,11205,18801,2535
2,1962,AL,3358000,41112,5283,35829,316,218,754,3995,11722,21306,2801
3,1963,AL,3347000,44636,6115,38521,340,192,828,4755,12614,22874,3033
4,1964,AL,3407000,53550,7260,46290,316,397,992,5555,15898,26713,3679
5,1965,AL,3462000,55131,6916,48215,395,367,992,5162,16398,28115,3702
6,1966,AL,3517000,61838,8098,53740,384,341,1124,6249,18551,30583,4606
7,1967,AL,3540000,65527,8448,57079,415,371,1167,6495,20227,31682,5170
8,1968,AL,3566000,71285,8288,62997,421,396,1462,6009,22403,34508,6086
9,1969,AL,3531000,75090,8842,66248,485,494,1448,6415,23559,36644,6045
10,1970,AL,3444165,85399,10185,75214,404,637,1731,7413,26739,40779,7696
11,1971,AL,3479000,86919,10835,76084,524,661,2005,7645,27547,40841,7696
12,1972,AL,3510000,84047,10994,73053,496,660,2407,7431,27714,38493,6846
13,1973,AL,3539000,91389,12390,78999,468,751,2809,8362,31754,39206,8039
14,1974,AL,3577000,107314,13338,93976,536,811,3562,8429,37841,46813,9322
15,1975,AL,3614000,125497,14201,111296,577,738,4446,8440,42059,59470,9767
16,1976,AL,3665000,139573,14248,125325,553,794,3520,9381,42879,72832,9614
17,1977,AL,3690000,136995,15293,121702,524,929,3572,10268,41901,69442,10359
18,1978,AL,3742000,147389,15682,131707,499,954,3708,10521,46001,74387,11319
19,1979,AL,3769000,159950,15578,144372,496,1037,4127,9918,48517,83791,12064
20,1980,AL,3861466,190511,17320,173191,509,1158,5102,10551,58952,102029,12210
21,1981,AL,3916000,191834,18423,173411,465,1021,4952,11985,56811,105471,11129
22,1982,AL,3943000,182701,17653,165048,417,1026,4417,11793,49531,104740,10777
23,1983,AL,3959000,162361,16471,145890,364,931,3895,11281,42485,94279,9126
24,1984,AL,3990000,155691,17204,138487,374,1002,3833,11995,39970,89198,9319
25,1985,AL,4021000,158513,18398,140115,396,1079,4237,12686,41612,88108,10395
26,1986,AL,4053000,173807,22616,151191,409,1150,4523,16534,46974,93396,10821
27,1987,AL,4083000,181751,22833,158918,380,1137,4581,16735,48927,99260,10731
28,1988,AL,4127000,188261,23052,165209,408,1228,4860,16556,50920,103282,11007
29,1989,AL,4118000,190573,24329,166244,421,1276,5515,17117,47224,106771,12249
30,1990,AL,4040587,198604,28630,169974,467,1319,5805,21039,44585,111336,14053
31,1991,AL,4089000,219400,34518,184882,469,1455,6246,26348,51873,118151,14858
32,1992,AL,4136000,217889,36052,181837,455,1704,6819,27074,49053,117801,14983
33,1993,AL,4187000,204274,32676,171598,484,1471,6677,24044,45578,111878,14142
34,1994,AL,4219000,206859,28844,178015,501,1487,7223,19633,44064,119951,14000
35,1995,AL,4253000,206188,26894,179294,475,1350,7900,17169,43586,120967,14741
36,1996,AL,4273000,205962,24159,181803,444,1397,7124,15194,42821,123350,15632
37,1997,AL,4319000,211188,24379,186809,426,1396,6931,15626,43786,127616,15407
38,1998,AL,4352000,200065,22286,177779,354,1443,5698,14791,41965,120943,14871
39,1999,AL,4369862,192819,21421,171398,345,1513,5297,14266,38648,119616,13134
40,2000,AL,4447100,202159,21620,180539,329,1482,5702,14107,40331,127399,12809
41,2001,AL,4468912,192835,19582,173253,379,1369,5584,12250,40642,119992,12619
42,2002,AL,4478869,200331,19931,180400,303,1664,5962,12002,42578,123932,13890
43,2003,AL,4503726,201572,19331,182241,299,1656,6038,11338,43245,124039,14957
44,2004,AL,4525375,201664,19324,182340,254,1742,6042,11286,44666,123650,14024
45,2005,AL,4548327,197071,19678,177393,374,1564,6447,11293,43473,120780,13140
46,2006,AL,4599030,200578,19557,181021,382,1649,7059,10467,44571,121610,14840
47,2007,AL,4627851,204530,20732,183798,412,1545,7398,11377,45331,124237,14230
48,2008,AL,4677464,211401,21109,190292,357,1618,7344,11790,50379,126461,13452
49,2009,AL,4708708,199201,21194,178007,322,1504,6265,13103,48844,118072,11091
50,2010,AL,4785401,187191,18363,168828,275,1355,4864,11869,42484,115564,10780
51,2011,AL,4803689,193358,20166,173192,299,1370,4906,13591,51119,111411,10662
52,2012,AL,4817528,190571,21693,168878,342,1296,5020,15035,47481,111523,9874
53,2013,AL,4833996,182669,20834,161835,346,1449,4645,13788,42410,108862,10563
54,2014,AL,4846411,174814,20727,154087,276,1425,4702,13744,39723,104223,10141
55,2015,AL,4853875,167742,22957,144785,348,1449,4612,15960,35265,99182,10338
56,2016,AL,4860545,169137,25878,143259,407,1915,4687,18869,34045,97498,11716
57,2017,AL,4875120,169243,25469,143774,419,2001,4233,18816,31270,99707,12797
58,2018,AL,4887681,164269,25567,138702,383,2032,4047,19105,29101,96328,13273
59,2019,AL,4903185,156179,25046,131133,358,2068,3941,18679,26079,92477,12577
60,1960,AK,226167,3730,236,3494,23,47,64,102,751,2195,548
61,1961,AK,234000,3813,208,3605,27,31,29,121,891,2223,491
62,1962,AK,246000,4074,225,3849,11,46,34,134,865,2424,560
63,1963,AK,248000,5115,272,4843,16,37,55,164,946,3010,887
64,1964,AK,250000,5415,375,5040,26,56,53,240,1109,3046,885
65,1965,AK,253000,6587,377,6210,16,45,101,215,1403,3777,1030
66,1966,AK,272000,7577,409,7168,35,53,98,223,1613,4354,1201
67,1967,AK,272000,7846,437,7409,26,48,96,267,1873,4436,1100
68,1968,AK,277000,9199,486,8713,29,60,146,251,2070,5307,1336
69,1969,AK,282000,10942,624,10318,30,83,190,321,2455,6195,1668
70,1970,AK,302173,11488,840,10648,37,79,217,507,2387,6595,1666
71,1971,AK,313000,13035,1112,11923,42,136,210,724,2656,7631,1636
72,1972,AK,325000,14555,1204,13351,31,136,216,821,3155,8577,1619
73,1973,AK,330000,16313,1269,15044,33,147,221,868,3852,9456,1736
74,1974,AK,337000,17658,1527,16131,46,166,298,1017,3932,10016,2183
75,1975,AK,352000,21812,1900,19912,43,157,456,1244,4275,12399,3238
76,1976,AK,382000,23763,2063,21700,43,179,477,1364,4653,13969,3078
77,1977,AK,407000,24005,1804,22201,44,210,394,1156,5420,13715,3066
78,1978,AK,403000,24366,1781,22585,52,224,368,1137,5397,14522,2666
79,1979,AK,406000,25187,1994,23193,54,292,445,1203,5616,15076,2501
80,1980,AK,440142,24849,1919,22930,39,250,360,1270,5545,14916,2469
81,1981,AK,412000,27171,2537,24634,60,421,472,1584,5479,16310,2845
82,1982,AK,438000,27211,2732,24479,81,374,586,1691,5204,16672,2603
83,1983,AK,479000,28829,2940,25889,66,486,465,1923,5720,17085,3084
84,1984,AK,500000,30576,3108,27468,58,458,547,2045,6184,18140,3144
85,1985,AK,521000,30619,3031,27588,51,402,484,2094,6209,18220,3159
86,1986,AK,534000,33353,3046,30307,46,388,470,2142,6204,20879,3224
87,1987,AK,525000,28232,2391,25841,53,341,384,1613,5093,18195,2553
88,1988,AK,513000,25248,2682,22566,29,296,374,1983,4321,15911,2334
89,1989,AK,527000,25190,2623,22567,42,279,356,1946,4358,15811,2398
90,1990,AK,550043,28342,2885,25457,41,401,422,2021,4919,17428,3110
91,1991,AK,570000,32499,3499,29000,42,523,645,2289,5582,20375,3043
92,1992,AK,587000,32693,3877,28816,44,579,640,2614,5170,20728,2918
93,1993,AK,599000,33352,4557,28795,54,502,733,3268,4893,21201,2701
94,1994,AK,606000,34591,4644,29947,38,418,886,3302,4848,21824,3275
95,1995,AK,604000,34753,4656,30097,55,485,937,3179,5055,21891,3151
96,1996,AK,607000,33084,4417,28667,45,398,710,3264,5118,20557,2992
97,1997,AK,609000,32110,4270,27840,54,403,648,3165,4276,20780,2784
98,1998,AK,614000,29331,4015,25316,41,421,532,3021,4098,18611,2607
99,1999,AK,619500,27007,3908,23099,52,517,566,2773,3787,16654,2658
100,2000,AK,626932,26641,3554,23087,27,497,490,2540,3899,16838,2350
101,2001,AK,633630,26895,3735,23160,39,501,514,2681,3847,16695,2618
102,2002,AK,641482,28133,4015,24118,33,511,489,2594,3908,17739,2471
103,2003,AK,648280,28263,3877,24386,39,605,446,2787,3874,18051,2461
104,2004,AK,657755,26331,4159,22172,37,558,447,3117,3773,16159,2240
105,2005,AK,663253,28170,4194,23975,32,538,537,3087,4131,17249,2595
106,2006,AK,670053,28765,4610,24155,36,509,605,3406,4136,17490,2529
107,2007,AK,683478,27617,4519,23098,44,529,583,3363,3682,16998,2418
108,2008,AK,688125,24576,4479,20097,27,445,644,3363,3232,15235,1630
109,2009,AK,698473,24952,4424,20538,22,513,654,3235,3600,15251,1687
110,2010,AK,714146,24796,4537,20259,31,533,594,3379,3105,15535,1619
111,2011,AK,723860,23510,4416,19094,30,436,576,3374,2852,14854,1388
112,2012,AK,730307,24449,4412,20037,30,583,630,3169,2950,15565,1522
113,2013,AK,737259,25920,4709,21211,34,657,623,3127,2917,16599,1695
114,2014,AK,737046,25018,4684,20334,41,553,629,3243,3150,15445,1739
115,2015,AK,737709,26197,5391,20806,59,648,761,3671,3511,15249,2046
116,2016,AK,741522,30842,5966,24876,52,1053,850,4011,4053,17766,3057
117,2017,AK,739795,32337,6133,26204,62,863,951,4257,4171,17775,4258
118,2017,AK,739786,32541,6338,26203,62,1074,952,4250,4167,17782,4254
119,2018,AK,735139,30900,6555,24345,47,1212,896,4400,3985,16364,3996
120,2019,AK,731545,27637,6343,21294,69,1088,826,4360,3563,15114,2617
121,1960,AZ,1302161,39243,2704,36539,78,209,706,1711,8926,23207,4406
122,1961,AZ,1391000,43592,2288,41304,84,200,786,1218,10262,26099,4943
123,1962,AZ,1509000,48304,2610,45694,86,198,851,1475,11693,28605,5396
124,1963,AZ,1559000,52921,3027,49894,93,222,897,1815,12944,31213,5737
125,1964,AZ,1581000,57632,3368,54264,83,259,967,2059,13726,35190,5348
126,1965,AZ,1608000,57049,3092,53957,80,286,895,1831,13129,36208,4620
127,1966,AZ,1618000,66917,3272,63645,98,296,898,1980,15066,42555,6024
128,1967,AZ,1634000,79052,3892,75160,91,273,1224,2304,18583,49923,6654
129,1968,AZ,1670000,81403,4402,77001,105,313,1448,2536,19496,50471,7034
130,1969,AZ,1693000,88452,5742,82710,102,390,1692,3558,22053,53231,7426
131,1970,AZ,1772482,104829,6564,98265,168,478,2130,3788,26464,62918,8883
132,1971,AZ,1849000,109858,7407,102451,124,553,2095,4635,26549,67566,8336
133,1972,AZ,1945000,115402,8731,106671,142,650,2350,5589,31429,66883,8359
134,1973,AZ,2058000,137966,9877,128089,167,637,3031,6042,40301,76560,11228
135,1974,AZ,2153000,177013,12202,164811,206,807,4396,6793,54557,97286,12968
136,1975,AZ,2224000,185515,12184,173331,191,789,3780,7424,56265,105588,11478
137,1976,AZ,2270000,179021,10335,168686,177,674,2949,6535,53722,105389,9575
138,1977,AZ,2296000,177875,11347,166528,217,786,3173,7171,53866,102571,10091
139,1978,AZ,2354000,178994,12996,165998,221,1040,3835,7900,49023,106042,10933
140,1979,AZ,2450000,192505,14528,177977,219,1120,4305,8884,48916,116976,12085
141,1980,AZ,2715357,221866,17673,204193,279,1227,5258,10909,58527,132814,12852
142,1981,AZ,2793000,212657,16082,196575,227,1064,4961,9830,57655,127469,11451
143,1982,AZ,2860000,203946,14785,189161,236,1100,4537,8912,53861,124723,10577
144,1983,AZ,2963000,189382,14642,174740,213,1241,3923,9265,49440,114721,10579
145,1984,AZ,3053000,198426,15756,182670,238,1316,4003,10199,52327,118604,11739
146,1985,AZ,3187000,226793,19202,207591,254,1458,4670,12820,59585,135720,12286
147,1986,AZ,3317000,242850,21835,221015,307,1425,5614,14489,63278,143845,13892
148,1987,AZ,3386000,243405,20742,222663,253,1396,4687,14406,55059,153296,14308
149,1988,AZ,3466000,258955,21147,237808,294,1345,4750,14758,54773,167121,15914
150,1989,AZ,3556000,286604,21320,265284,237,1286,4944,14853,59284,181574,24426
151,1990,AZ,3665228,289140,23911,265229,284,1500,5897,16230,61206,172375,31648
152,1991,AZ,3750000,277711,25152,252559,291,1590,6215,17056,60281,159987,32291
153,1992,AZ,3832000,269335,25706,243629,312,1647,5867,17880,54095,158053,31481
154,1993,AZ,3936000,292513,28142,264371,339,1488,6412,19903,57684,172689,33998
155,1994,AZ,4075000,322926,28653,294273,426,1465,6601,20161,60157,190649,43467
156,1995,AZ,4218000,346450,30095,316355,439,1418,7329,20909,59762,207763,48830
157,1996,AZ,4428000,312927,27963,284964,377,1381,7429,18776,55630,188300,41034
158,1997,AZ,4555000,327734,28411,299323,375,1492,7547,18997,60077,195045,44201
159,1998,AZ,4669000,306985,26984,280001,376,1451,7715,17442,56473,183137,40391
160,1999,AZ,4778332,281735,26334,255401,384,1383,7547,17279,49423,167731,38247
161,2000,AZ,5130632,299092,27281,271811,359,1577,7504,17841,51902,176705,43204
162,2001,AZ,5306966,322549,28675,293874,400,1518,8868,17889,54821,186850,52203
163,2002,AZ,5441125,348467,30171,318296,387,1608,8000,20176,59087,201541,57668
164,2003,AZ,5579222,340669,26334,314335,441,1856,7619,18722,58613,198725,56997
165,2004,AZ,5739879,334028,28952,291203,414,1896,7721,18921,56885,179012,55306
166,2005,AZ,5953007,317823,30478,287345,445,2006,8579,19448,56328,176112,54905
167,2006,AZ,6166318,316286,30916,285370,465,1941,9226,19284,57055,173466,54849
168,2007,AZ,6338755,310364,30600,279764,468,1856,9618,18658,57825,173580,48389
169,2008,AZ,6499377,296956,31274,265682,454,2193,9757,18870,58125,169346,38211
170,2009,AZ,6595778,264849,28128,236721,380,2279,8199,17270,54308,155976,26437
171,2010,AZ,6413158,253330,26528,226802,408,2191,6953,16976,50932,154137,21733
172,2011,AZ,6467315,256685,26789,229896,397,2499,7145,16748,54695,155400,19801
173,2012,AZ,6551149,259778,28077,231701,358,2282,7383,18054,52911,159808,18982
174,2013,AZ,6634997,250870,27576,223294,355,2344,6656,17391,48292,158036,16966
175,2014,AZ,6728783,239828,26422,213406,311,2356,6225,16614,43412,152683,17311
176,2015,AZ,6817565,235152,27968,207184,306,2268,6360,18193,38010,152388,16786
177,2016,AZ,6908642,239859,32542,207317,389,3304,7045,21804,38216,150618,18483
178,2017,AZ,7048876,240646,35647,204999,422,3622,7440,24163,37722,148251,19026
179,2018,AZ,7158024,226783,34053,192730,383,3605,6509,23556,31787,141789,19154
180,2019,AZ,7278717,210779,33141,177638,365,3662,6410,22704,28699,130788,18151
181,1960,AR,1786272,18472,1924,16548,152,159,443,1170,5399,10250,899
182,1961,AR,1797000,18645,1809,16836,163,130,446,1070,5536,10211,1089
183,1962,AR,1823000,19866,1667,18199,144,124,400,999,5683,11169,1347
184,1963,AR,1858000,21940,1991,19949,137,113,466,1275,6087,12315,1547
185,1964,AR,1933000,26274,2641,23633,147,157,565,1772,7135,14622,1876
186,1965,AR,1960000,24975,2662,22313,115,203,465,1879,6344,14254,1715
187,1966,AR,1955000,27035,3185,23850,139,192,574,2280,7044,15140,1666
188,1967,AR,1968000,32048,4320,27728,173,279,693,3175,8735,17301,1692
189,1968,AR,2012000,39406,4360,35046,163,349,796,3052,11463,21506,2077
190,1969,AR,1995000,43661,4390,39271,197,347,885,2961,12989,24069,2213
191,1970,AR,1923295,46566,4276,42290,195,328,877,2876,14606,25388,2296
192,1971,AR,1944000,45261,4680,40581,204,332,947,3197,14014,24173,2394
193,1972,AR,1978000,46530,4840,41690,206,342,1084,3208,14541,24891,2258
194,1973,AR,2037000,56149,5905,50244,180,398,1456,3871,18088,29204,2952
195,1974,AR,2062000,68060,6521,61539,231,492,1664,4134,22170,35989,3380
196,1975,AR,2116000,74909,7369,67540,213,547,1854,4755,22791,41199,3550
197,1976,AR,2109000,71847,6410,65437,213,510,1618,4069,19771,42474,3192
198,1977,AR,2144000,71633,6924,64709,188,592,1784,4360,20852,39924,3933
199,1978,AR,2186000,75673,7522,68151,199,505,1748,5070,21140,42647,4364
200,1979,AR,2180000,78933,7984,70949,198,595,1626,5565,21457,45267,4225
201,1980,AR,2284037,87046,7656,79390,210,609,1848,4989,25559,49558,4273
202,1981,AR,2294000,87091,7119,79972,209,577,1776,4557,24732,50959,4281
203,1982,AR,2291000,88697,7438,81259,187,622,1805,4824,24547,52450,4262
204,1983,AR,2328000,81493,6930,74563,178,586,1614,4552,22380,48140,4043
205,1984,AR,2349000,79103,7549,71554,176,697,1587,5089,20810,46807,3937
206,1985,AR,2359000,84571,8199,76372,187,686,1617,5709,22207,49957,4208
207,1986,AR,2372000,93094,9365,83729,191,686,1890,6598,24429,54677,4623
208,1987,AR,2388000,101376,9839,91537,182,779,1890,6988,25743,60862,4932
209,1988,AR,2422000,102199,10237,91962,211,780,2037,7209,26443,60363,5156
210,1989,AR,2406000,109610,11397,98213,203,924,2660,7610,28738,63084,6391
211,1990,AR,2350725,114408,12511,101897,241,1019,2661,8590,28464,66630,6803
212,1991,AR,2372000,122749,14072,108677,264,1058,3217,9533,29093,71487,8097
213,1992,AR,2399000,114233,13831,100402,259,990,3011,9571,26214,66288,7900
214,1993,AR,2424000,116612,14381,102231,247,1028,3027,10079,26646,67767,7818
215,1994,AR,2453000,117713,14598,103115,294,1028,3158,10118,26911,68478,7726
216,1995,AR,2484000,116521,13741,102780,259,925,3122,9435,24763,69935,8082
217,1996,AR,2510000,117951,13161,104790,219,1046,2864,9032,23925,73010,7855
218,1997,AR,2523000,119052,13293,105759,250,1098,2814,9131,25568,72253,7938
219,1998,AR,2538000,108713,12442,96271,201,893,2442,8906,23559,65525,7187
220,1999,AR,2551373,103131,10848,92283,143,710,2024,7971,21692,63927,6664
221,2000,AR,2673400,110019,11904,98115,168,848,2001,8887,21443,69740,6932
222,2001,AR,2694698,111296,12190,99106,148,892,2181,8969,22196,69590,7320
223,2002,AR,2706268,112672,11501,101171,142,754,2524,8081,23229,71525,6813
224,2003,AR,2727774,111533,12449,99084,180,911,2227,9131,25016,68061,6007
225,2004,AR,2750000,124725,13814,110911,176,1183,2372,10083,30151,74242,6581
226,2005,AR,2775708,127584,14670,112914,189,1202,2532,10747,30118,75510,7286
227,2006,AR,2810872,127177,15506,111521,205,1308,2766,11227,32042,72016,7463
228,2007,AR,2834797,127568,15507,112061,191,1268,3024,10524,32072,72979,7010
229,2008,AR,2867764,124224,14472,109752,164,1425,2756,10127,33772,69482,6498
230,2009,AR,2889450,123983,14905,109078,179,1378,2576,10772,34753,68228,6097
231,2010,AR,2921588,118531,14711,103820,134,1321,2369,10887,32463,65796,5561
232,2011,AR,2938582,124603,14173,110430,160,1230,2357,10426,34016,70645,5769
233,2012,AR,2949828,123240,13851,109389,174,1233,2310,10134,32673,70982,5734
234,2013,AR,2958765,120182,13705,106477,158,1135,2261,9796,30369,70430,5678
235,2014,AR,2966835,113700,14248,99452,175,1291,2037,10220,24816,69001,5635
