DATE,FLNGSP
1997-01-01,401535.3
1998-01-01,429138.4
1999-01-01,458058.9
2000-01-01,490429.8
2001-01-01,519058.6
2002-01-01,553010.3
2003-01-01,590483.1
2004-01-01,646630.6
2005-01-01,705851.9
2006-01-01,750523.8
2007-01-01,782712.5
2008-01-01,763341.5
2009-01-01,735421.0
2010-01-01,746928.9
2011-01-01,755240.0
2012-01-01,778545.0
2013-01-01,811751.7
2014-01-01,851692.4
2015-01-01,908519.9
2016-01-01,953352.5
2017-01-01,1003144.0
2018-01-01,1057255.4
2019-01-01,1111392.2
2020-01-01,1116726.8
2021-01-01,1255558.3
2022-01-01,1389069.7
