DATE,IANGSP
1997-01-01,82720.4
1998-01-01,84644.0
1999-01-01,87782.4
2000-01-01,93112.0
2001-01-01,94837.8
2002-01-01,98557.0
2003-01-01,105123.3
2004-01-01,117188.5
2005-01-01,123190.9
2006-01-01,127896.3
2007-01-01,137930.2
2008-01-01,137548.5
2009-01-01,136894.6
2010-01-01,142233.9
2011-01-01,148477.6
2012-01-01,158538.4
2013-01-01,162200.3
2014-01-01,173095.9
2015-01-01,180299.3
2016-01-01,181011.4
2017-01-01,184561.3
2018-01-01,191516.6
2019-01-01,195708.7
2020-01-01,196982.9
2021-01-01,216860.2
2022-01-01,231107.8
