DATE,MANGSP
1997-01-01,237267.4
1998-01-01,249299.0
1999-01-01,264644.4
2000-01-01,288791.0
2001-01-01,296868.7
2002-01-01,301836.4
2003-01-01,311188.6
2004-01-01,326737.1
2005-01-01,341993.2
2006-01-01,359270.0
2007-01-01,378519.1
2008-01-01,390778.4
2009-01-01,390504.8
2010-01-01,411136.1
2011-01-01,425523.0
2012-01-01,442916.9
2013-01-01,454321.2
2014-01-01,470468.5
2015-01-01,498851.3
2016-01-01,514637.6
2017-01-01,531008.0
2018-01-01,563054.3
2019-01-01,589904.3
2020-01-01,585150.3
2021-01-01,641332.2
2022-01-01,688391.6
