DATE,OHNGSP
1997-01-01,343430.3
1998-01-01,361638.1
1999-01-01,376465.2
2000-01-01,392277.2
2001-01-01,396944.5
2002-01-01,411034.5
2003-01-01,423780.2
2004-01-01,446225.3
2005-01-01,468891.6
2006-01-01,482738.1
2007-01-01,497761.5
2008-01-01,496919.4
2009-01-01,482281.1
2010-01-01,500515.3
2011-01-01,528189.9
2012-01-01,545740.1
2013-01-01,566532.4
2014-01-01,595640.9
2015-01-01,611019.5
2016-01-01,623265.3
2017-01-01,645636.8
2018-01-01,667115.6
2019-01-01,697166.8
2020-01-01,684382.5
2021-01-01,756617.2
2022-01-01,822669.7
