DATE,WINGSP
1997-01-01,153431.7
1998-01-01,162609.3
1999-01-01,172224.1
2000-01-01,180427.3
2001-01-01,188163.1
2002-01-01,194658.8
2003-01-01,203339.2
2004-01-01,215537.1
2005-01-01,227297.0
2006-01-01,237569.3
2007-01-01,245839.5
2008-01-01,246814.5
2009-01-01,247210.0
2010-01-01,256432.9
2011-01-01,266364.4
2012-01-01,277107.1
2013-01-01,284270.9
2014-01-01,295696.0
2015-01-01,307507.9
2016-01-01,314073.3
2017-01-01,318310.4
2018-01-01,332498.6
2019-01-01,345236.4
2020-01-01,340591.1
2021-01-01,368611.3
2022-01-01,401791.5
