state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Alabama,0.258,0.095,0.113,0.282,0.118,0.135,2008,5387,174526.3,33518,58975,1259177,3366536,0.47,5409,0.05
Alaska,0.282,0.113,0.122,0.289,0.12,0.074,2008,1646,55122.5,117376,46039,30075,493965,0.4,1197,0.064
Arizona,0.279,0.09,0.126,0.266,0.105,0.134,2008,12488,262926.0,346539,209252,294617,5429954,0.45,27031,0.06
Arkansas,0.263,0.09,0.114,0.276,0.117,0.141,2008,3255,99706.8,27242,42091,458375,2346846,0.46,3642,0.054
California,0.272,0.101,0.126,0.288,0.102,0.112,2008,136531,1944695.3,669667,5281970,2662354,27990346,0.47,167173,0.072
Colorado,0.259,0.093,0.132,0.3,0.113,0.103,2008,14747,258871.7,84116,159295,231792,4414527,0.46,13248,0.048
Connecticut,0.249,0.082,0.102,0.314,0.119,0.134,2008,4627,238936.8,18438,141482,401643,2984016,0.49,11391,0.056
Delaware,0.257,0.09,0.109,0.288,0.121,0.136,2008,933,55459.8,5901,29849,197813,650311,0.45,2057,0.049
District of Columbia,0.209,0.111,0.161,0.285,0.115,0.118,2008,6044,99496.5,3690,22734,318392,235420,,2134,
Florida,0.233,0.085,0.108,0.281,0.119,0.174,2008,50158,763341.5,95642,512331,3086395,14832937,0.47,87821,0.063
Georgia,0.281,0.091,0.124,0.298,0.106,0.101,2008,19095,416377.6,48540,327759,2962628,6165916,0.47,27714,0.063
Hawaii,0.241,0.096,0.109,0.283,0.12,0.152,2008,6061,65678.2,5844,889527,33067,403775,0.43,4456,0.041
Idaho,0.289,0.096,0.121,0.267,0.112,0.115,2008,1464,56200.8,28001,24332,14244,1467743,0.42,2207,0.048
Illinois,0.264,0.095,0.123,0.291,0.108,0.12,2008,14724,654657.5,76818,612326,1955231,10102663,0.47,35881,0.064
Indiana,0.264,0.086,0.12,0.291,0.114,0.125,2008,7395,275538.7,26987,108824,624185,5664810,0.44,9110,0.058
Iowa,0.251,0.097,0.108,0.285,0.118,0.142,2008,3346,137548.5,14455,54739,99622,2847918,0.43,3090,0.04
Kansas,0.265,0.097,0.117,0.28,0.112,0.128,2008,1738,128604.3,38037,73191,188485,2508363,0.44,5130,0.044
Kentucky,0.251,0.084,0.119,0.297,0.12,0.129,2008,8137,159883.8,12060,53472,352036,3872310,0.47,4757,0.066
Louisiana,0.269,0.101,0.115,0.28,0.116,0.12,2008,5481,212392.4,34078,73385,1444476,2883647,0.48,3676,0.044
Maine,0.223,0.075,0.1,0.317,0.136,0.151,2008,2632,50713.2,10144,14543,18505,1287317,0.44,884,0.054
Maryland,0.254,0.091,0.113,0.305,0.116,0.121,2008,9219,295400.2,32783,330748,1741767,3579667,0.44,19815,0.043
Massachusetts,0.238,0.091,0.116,0.309,0.118,0.129,2008,14506,390778.4,32135,357575,517040,5562217,0.47,24516,0.053
Michigan,0.257,0.09,0.111,0.296,0.119,0.128,2008,28248,390420.9,82491,260068,1485681,8118649,0.45,15332,0.083
Minnesota,0.255,0.093,0.118,0.301,0.114,0.119,2008,7644,267420.6,75748,219151,294544,4657575,0.45,9970,0.054
Mississippi,0.281,0.095,0.112,0.277,0.112,0.123,2008,1961,94514.5,16752,28439,1103216,1799399,0.48,2089,0.068
Missouri,0.255,0.093,0.117,0.287,0.117,0.133,2008,7687,254045.8,37457,109200,719723,5057536,0.45,6266,0.059
Montana,0.256,0.095,0.106,0.279,0.127,0.137,2008,1417,37224.9,67202,7749,6665,894799,0.45,374,0.045
Nebraska,0.272,0.092,0.118,0.278,0.111,0.128,2008,3985,85628.0,24651,35366,91900,1644461,0.43,3043,0.033
Nevada,0.27,0.085,0.128,0.288,0.113,0.115,2008,8726,130609.5,47597,226589,244200,2135244,0.43,11021,0.071
New Hampshire,0.237,0.08,0.106,0.324,0.129,0.124,2008,2019,61700.2,4615,29992,18948,1262351,0.42,1807,0.039
New Jersey,0.252,0.085,0.11,0.311,0.113,0.129,2008,13832,496227.2,51263,736423,1311696,6611708,0.46,37446,0.055
New Mexico,0.271,0.097,0.116,0.27,0.115,0.132,2008,3015,84688.4,213396,35468,54341,1707457,0.46,4972,0.045
New York,0.243,0.095,0.116,0.299,0.116,0.131,2008,61125,1116591.0,195000,1485783,3473867,14057786,0.5,75365,0.054
North Carolina,0.261,0.085,0.119,0.295,0.117,0.123,2008,12411,418793.4,147170,221145,2084901,6856233,0.46,21830,0.063
North Dakota,0.235,0.12,0.115,0.265,0.128,0.137,2008,615,31874.4,37875,7132,8994,603568,0.45,583,0.031
Ohio,0.254,0.087,0.114,0.292,0.119,0.134,2008,12912,496919.4,37763,207654,1488002,9781972,0.45,11863,0.066
Oklahoma,0.268,0.095,0.12,0.27,0.115,0.133,2008,3846,160763.7,370624,73676,307270,2917406,0.46,5523,0.037
Oregon,0.243,0.09,0.124,0.285,0.126,0.132,2008,20653,164925.4,76399,168566,89386,3434397,0.45,8594,0.065
Pennsylvania,0.238,0.086,0.105,0.299,0.123,0.149,2008,15378,588024.6,42692,356895,1469600,10743098,0.46,18520,0.053
Rhode Island,0.231,0.098,0.107,0.307,0.119,0.139,2008,1196,47277.5,9707,34312,81603,929381,0.46,3147,0.077
South Carolina,0.256,0.089,0.111,0.286,0.125,0.133,2008,5660,163886.2,25048,65865,1308465,3129618,0.46,7439,0.068
South Dakota,0.271,0.085,0.106,0.282,0.115,0.141,2008,579,36603.0,74790,7918,11798,704618,0.45,697,0.03
Tennessee,0.251,0.086,0.119,0.294,0.121,0.129,2008,9705,254242.0,26659,99772,1074684,5046296,0.47,9608,0.066
Texas,0.296,0.097,0.128,0.281,0.099,0.1,2008,40190,1244294.9,243884,1000104,3027152,20037899,0.47,88695,0.049
Utah,0.329,0.123,0.141,0.235,0.083,0.089,2008,3434,117178.9,43023,86772,38231,2495003,0.41,5971,0.033
Vermont,0.222,0.084,0.102,0.319,0.135,0.139,2008,954,25999.3,3039,8261,7759,605092,0.43,417,0.045
Virginia,0.255,0.089,0.114,0.302,0.118,0.122,2008,8469,404634.9,41989,455516,1602530,5733461,0.46,22029,0.04
Washington,0.252,0.087,0.123,0.298,0.121,0.119,2008,21954,354794.1,140912,549453,294548,5577318,0.44,20332,0.054
West Virginia,0.222,0.084,0.112,0.291,0.138,0.153,2008,2016,62694.8,4211,13671,68836,1753592,0.45,540,0.042
Wisconsin,0.248,0.092,0.113,0.299,0.118,0.13,2008,5449,246814.5,64716,134081,381998,5060201,0.43,6744,0.048
Wyoming,0.262,0.094,0.116,0.284,0.122,0.123,2008,751,42819.3,15245,5239,6502,519057,0.44,399,0.031
Alabama,0.257,0.093,0.116,0.277,0.12,0.137,2009,6080,170930.9,34844,62645,1271247,3389202,0.47,5319,0.098
Alaska,0.291,0.103,0.122,0.291,0.117,0.077,2009,1992,49957.8,119327,49128,30573,499867,0.4,1022,0.077
Arizona,0.277,0.092,0.129,0.263,0.108,0.132,2009,2852,246424.3,353144,217943,308020,5464047,0.45,26997,0.098
Arkansas,0.262,0.09,0.118,0.272,0.12,0.14,2009,14721,97508.1,28106,44948,462207,2361582,0.46,3662,0.075
California,0.271,0.098,0.129,0.285,0.106,0.112,2009,123678,1890165.9,709279,5412716,2691724,28147510,0.47,165600,0.113
Colorado,0.261,0.094,0.13,0.294,0.116,0.106,2009,15268,251227.7,88634,165687,239309,4478565,0.45,13078,0.081
Connecticut,0.247,0.084,0.106,0.306,0.122,0.135,2009,4605,233290.7,19258,146808,409897,2985844,0.48,11322,0.082
Delaware,0.247,0.085,0.12,0.284,0.123,0.142,2009,6228,57849.7,6270,31080,201775,652605,0.43,2016,0.079
District of Columbia,0.208,0.107,0.17,0.283,0.116,0.116,2009,1130,100446.0,4035,23028,317978,247187,,2096,
Florida,0.233,0.088,0.111,0.276,0.119,0.173,2009,55599,735421.0,97488,527477,3133488,14894191,0.47,87381,0.104
Georgia,0.283,0.092,0.123,0.291,0.108,0.103,2009,20360,409590.8,51638,342019,3023009,6204180,0.47,27346,0.098
Hawaii,0.243,0.085,0.122,0.276,0.126,0.147,2009,5782,64549.7,5974,900614,33296,406833,0.43,4033,0.069
Idaho,0.289,0.102,0.116,0.26,0.115,0.118,2009,14055,54064.1,28928,25292,15054,1485165,0.42,2179,0.075
Illinois,0.261,0.094,0.125,0.287,0.112,0.121,2009,6984,649862.7,82361,629853,1960826,10123738,0.47,35839,0.1
Indiana,0.263,0.092,0.118,0.284,0.117,0.126,2009,3380,263326.8,28112,114215,635234,5681764,0.43,9194,0.104
Iowa,0.253,0.093,0.114,0.275,0.122,0.143,2009,1939,136894.6,15048,57321,104045,2856456,0.43,3189,0.062
Kansas,0.266,0.102,0.116,0.275,0.115,0.126,2009,1892,125348.9,39620,75929,192058,2525097,0.44,5003,0.071
Kentucky,0.251,0.09,0.12,0.288,0.122,0.13,2009,5999,157479.8,12486,55862,359228,3889498,0.46,4598,0.103
Louisiana,0.268,0.101,0.122,0.273,0.115,0.121,2009,12504,204906.9,35174,76977,1468988,2910509,0.47,3476,0.066
Maine,0.218,0.08,0.102,0.304,0.143,0.154,2009,15482,51123.8,10406,14888,19452,1284844,0.43,828,0.081
Maryland,0.253,0.091,0.116,0.301,0.119,0.121,2009,11698,299102.7,34813,343110,1764644,3587821,0.45,19565,0.074
Massachusetts,0.234,0.089,0.117,0.307,0.122,0.132,2009,2444,390504.8,33879,371539,530509,5581686,0.47,24518,0.082
Michigan,0.25,0.094,0.107,0.293,0.124,0.132,2009,14005,368733.8,83957,263190,1481101,8073343,0.45,15446,0.134
Minnesota,0.254,0.092,0.121,0.292,0.118,0.123,2009,7718,262088.9,76722,226790,304750,4672941,0.44,10066,0.08
Mississippi,0.28,0.097,0.117,0.267,0.114,0.126,2009,6959,91792.2,17199,29588,1108721,1803266,0.47,1939,0.094
Missouri,0.256,0.093,0.116,0.282,0.119,0.135,2009,2797,253317.7,38256,113258,728187,5081387,0.45,6133,0.094
Montana,0.242,0.097,0.11,0.274,0.136,0.143,2009,1196,36187.8,68342,8103,6917,900620,0.43,344,0.06
Nebraska,0.262,0.102,0.119,0.271,0.114,0.132,2009,1645,86870.4,25202,36770,94396,1656315,0.44,3069,0.047
Nevada,0.271,0.087,0.131,0.281,0.113,0.116,2009,12918,122127.1,48907,235624,251426,2148708,0.43,10969,0.117
New Hampshire,0.233,0.088,0.099,0.317,0.131,0.132,2009,13169,62522.9,4600,30988,19530,1260984,0.43,1787,0.062
New Jersey,0.25,0.083,0.113,0.305,0.117,0.132,2009,3475,482458.9,55197,760885,1323532,6615988,0.47,37360,0.09
New Mexico,0.274,0.097,0.118,0.261,0.119,0.131,2009,61067,82461.5,217796,36931,56276,1725799,0.45,4828,0.068
New York,0.241,0.092,0.121,0.295,0.119,0.132,2009,773,1160081.3,206557,1529520,3498751,14072238,0.5,75099,0.084
North Carolina,0.26,0.09,0.116,0.289,0.118,0.126,2009,3718,411155.8,152931,232059,2125058,6939518,0.46,21211,0.104
