state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate,State,Population,Index,Violent,Property,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft,with_death_penalty,Violent_Crimes,Violent_Crime_Rate
Alabama,0.258,0.095,0.113,0.282,0.118,0.135,2008,5387,174526.3,33518,58975,1259177,3366536,0.47,5409,0.05,AL,4677464,211401,21109,190292,357,1618,7344,11790,50379,126461,13452,1,42218,0.009025831091377721
Alabama,0.257,0.093,0.116,0.277,0.12,0.137,2009,6080,170930.9,34844,62645,1271247,3389202,0.47,5319,0.098,AL,4708708,199201,21194,178007,322,1504,6265,13103,48844,118072,11091,1,42388,0.009002044722246527
Alabama,0.254,0.094,0.113,0.276,0.126,0.138,2010,6046,177249.2,35759,65216,1281634,3402905,0.47,1053,0.093,AL,4785401,187191,18363,168828,275,1355,4864,11869,42484,115564,10780,1,36726,0.007674591951646268
Alabama,0.251,0.094,0.112,0.274,0.129,0.14,2011,5558,183916.6,35697,67196,1288707,3408042,0.47,5162,0.087,AL,4803689,193358,20166,173192,299,1370,4906,13591,51119,111411,10662,1,40332,0.008396047287824004
Alabama,0.249,0.095,0.112,0.27,0.13,0.144,2012,5209,189245.5,35831,70718,1298786,3411297,0.47,6282,0.073,AL,4817528,190571,21693,168878,342,1296,5020,15035,47481,111523,9874,1,43386,0.009005863588130675
Alabama,0.248,0.094,0.113,0.265,0.131,0.149,2013,4689,194786.9,35862,73272,1308730,3413722,0.48,5494,0.072,AL,4833996,182669,20834,161835,346,1449,4645,13788,42410,108862,10563,1,41062,0.008494421592405123
Alabama,0.243,0.094,0.113,0.263,0.133,0.154,2014,4561,197406.9,36048,75449,1316194,3416046,0.48,4159,0.068,AL,4846411,174814,20727,154087,276,1425,4702,13744,39723,104223,10141,1,40874,0.00843386992972738
Alabama,0.243,0.09,0.115,0.261,0.134,0.158,2015,3970,202372.4,36311,78032,1324193,3416267,0.4811,5095,0.061,AL,4853875,167742,22957,144785,348,1449,4612,15960,35265,99182,10338,1,45326,0.009338106152300997
Alabama,0.241,0.09,0.115,0.258,0.135,0.161,2016,4111,207368.4,36583,80802,1329793,3419646,0.4847,6301,0.06,AL,4860545,169137,25878,143259,407,1915,4687,18869,34045,97498,11716,1,51756,0.010648188629052915
Alabama,0.24,0.091,0.113,0.255,0.136,0.165,2017,3793,214606.3,36834,83101,1335123,3422931,0.4768,3546,0.044,AL,4875120,169243,25469,143774,419,2001,4233,18816,31270,99707,12797,1,50938,0.010448563317415777
Alabama,0.237,0.088,0.117,0.251,0.136,0.171,2018,3434,223859.3,37220,84667,1340474,3429267,0.4859,3940,0.039,AL,4887681,164269,25567,138702,383,2032,4047,19105,29101,96328,13273,1,51134,0.010461812053609881
Alabama,0.237,0.087,0.115,0.251,0.135,0.175,2019,3261,231561.9,37699,86288,1345267,3438711,0.4741,2293,0.03,AL,4903185,156179,25046,131133,358,2068,3941,18679,26079,92477,12577,1,50092,0.0102162166020658
Alaska,0.282,0.113,0.122,0.289,0.12,0.074,2008,1646,55122.5,117376,46039,30075,493965,0.4,1197,0.064,AK,688125,24576,4479,20097,27,445,644,3363,3232,15235,1630,0,8958,0.013017983651226158
Alaska,0.291,0.103,0.122,0.291,0.117,0.077,2009,1992,49957.8,119327,49128,30573,499867,0.4,1022,0.077,AK,698473,24952,4424,20538,22,513,654,3235,3600,15251,1687,0,8848,0.012667633537731595
Alaska,0.287,0.094,0.125,0.292,0.125,0.077,2010,1863,53331.6,120775,51550,31750,509907,0.42,480,0.08,AK,714146,24796,4537,20259,31,533,594,3379,3105,15535,1619,0,9074,0.012706085310286693
Alaska,0.278,0.102,0.126,0.282,0.13,0.083,2011,2128,56896.3,122230,53630,32700,513789,0.41,1442,0.076,AK,723860,23510,4416,19094,30,436,576,3374,2852,14854,1388,0,8832,0.012201254386207278
Alaska,0.27,0.106,0.129,0.278,0.134,0.085,2012,1913,58283.6,123496,55865,34085,517364,0.42,2482,0.07,AK,730307,24449,4412,20037,30,583,630,3169,2950,15565,1522,0,8824,0.012082589924511198
Alaska,0.272,0.107,0.136,0.265,0.126,0.094,2013,1946,57247.7,124657,58302,34987,519680,0.41,2995,0.069,AK,737259,25920,4709,21211,34,657,623,3127,2917,16599,1695,0,9150,0.012410835269559273
Alaska,0.272,0.109,0.131,0.261,0.131,0.096,2014,1784,56484.9,125581,59232,34958,517304,0.42,1343,0.068,AK,737046,25018,4684,20334,41,553,629,3243,3150,15445,1739,0,9150,0.012414421894969921
Alaska,0.271,0.111,0.136,0.251,0.131,0.1,2015,1956,51490.9,126461,60698,35203,516068,0.4322,2417,0.065,AK,737709,26197,5391,20806,59,648,761,3671,3511,15249,2046,0,10530,0.014273921017637036
Alaska,0.272,0.102,0.142,0.251,0.132,0.103,2016,1940,50727.7,127301,62891,36008,516375,0.4081,2442,0.066,AK,741522,30842,5966,24876,52,1053,850,4011,4053,17766,3057,0,11932,0.01609122858121539
Alaska,0.271,0.09,0.138,0.259,0.13,0.113,2017,1845,53301.5,127751,64937,36444,511851,0.4241,2792,0.072,AK,739795,32337,6133,26204,62,863,951,4257,4171,17775,4258,0,12266,0.01658026885826479
Alaska,0.27,0.088,0.132,0.258,0.133,0.121,2018,2016,54899.6,128089,65043,36516,506976,0.4322,742,0.066,AK,735139,30900,6555,24345,47,1212,896,4400,3985,16364,3996,0,13110,0.017833362126074115
Alaska,0.259,0.093,0.139,0.246,0.132,0.13,2019,1907,54728.2,128158,65688,36330,503427,0.4376,1232,0.061,AK,731545,27637,6343,21294,69,1088,826,4360,3563,15114,2617,0,12686,0.017341380229514248
